arm:;w:-3cm;l:31cm;base:;Rotx(55)rotz(-25);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.489953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.499981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.509981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.519948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.529982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.539981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.549957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.559981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.569979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.579959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.589985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.599979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.609994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.619983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.62998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.639951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.649949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.659981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.669981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.679985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.689985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.699982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.709989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.719983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.729981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.73999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.749947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.769943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.779986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.789986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.799951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.810028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.819983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.829961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.839984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.849983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.859964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.869982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.879983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.889992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.89995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.909999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.919949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.929984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.93998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.949947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.959984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.969981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.979979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.989984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.999946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.00998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.01998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.02998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.03998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.04999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.05999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.06997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.07999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.08996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.10014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.10999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.11996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.12998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.13998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.14995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.15999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.16998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.17999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.18998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.19995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.21999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.22996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.23999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.24996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.25995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.27998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.28998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.29997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.30998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.31998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.32999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.33999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.34995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.35998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.36998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.37998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.38997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.39994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.40997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.41998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.42998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.43998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.44998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.45999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.46995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.47998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.48998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.49998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.50995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.51997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.52998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.53994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.54997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.55998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.56994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.57998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.58998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.59994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.60998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.61997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.62996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.63997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.64997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.65997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.67999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.68998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.69999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.70998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.71998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.72998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.73997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.74997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.75998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.76999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.77998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.78999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.79998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.80998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.81998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.82998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.83998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.84998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.85998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.86998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.87996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.88998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.89995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.90996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.91996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.92998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.94017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.94998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.95998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.96995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.98001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.98998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.99997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.00997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.01995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.02995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.03997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.04997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.05997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.06997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.07997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.08997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.09997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.10997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.13008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.13997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.14997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.15998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.17997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.18998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.19997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.20997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.21998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.22997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.23997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.24995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.25997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.26997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.27995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.28996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.29997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.30995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.31997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.32997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.33994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.34997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.35997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.36994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.37997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.38997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.39994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.40997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.41997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.42997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.43997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.44997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.45996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.46997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.47996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.48996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.49997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.50997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.51996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.52997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.53997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.55004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.56997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.57997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.58998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.59997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.60997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.61996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.63004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.63998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.64999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.65998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.66998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.67996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.68998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.69998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.70996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.71998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.72998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.73996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.74998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.75997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.76995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.77998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.78998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.79994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.80998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.81998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.82995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.83998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.84998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.85996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.86998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.87998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.88998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.89998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.90997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.91998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.92995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.93999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.94998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.95997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.96994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.98996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.99998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.00997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.01999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.02998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.03998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.04998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.05997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.06998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.07999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.08998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.09998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.10995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.11998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.12998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.13996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.14998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.15997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.17016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.17998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.18995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.19998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.20998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.21998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.22995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.23998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.24998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.25994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.26999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.27998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.28998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.29998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.30998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.31998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.32999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.33998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.34998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.35999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.36998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.37998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.38999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.39998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.40998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.41995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.43998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.44999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.45998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.46998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.47998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.48998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.49998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.50997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.51998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.52998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.53996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.54998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.55998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.56996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.57998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.58998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.59995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.60998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.61998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.62995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
